50052.00ms : 0.06;0.20;0.37;33.57;-414.73;307.37
50072.00ms : -0.02;0.06;0.17;33.94;-416.81;356.75
50092.00ms : 0.01;-0.21;-0.01;27.16;-398.80;385.01
50112.00ms : 0.05;-0.48;-0.10;19.90;-365.42;386.54
50132.00ms : 0.04;-0.61;-0.05;19.23;-339.05;378.11
50152.00ms : 0.07;-0.63;0.01;17.03;-326.90;367.07
50172.00ms : 0.01;-0.58;-0.05;18.19;-323.97;369.26
50192.00ms : 0.05;-0.72;-0.36;-0.43;-298.65;374.39
50212.00ms : 0.04;-1.09;-0.50;-2.62;-239.07;339.48
50232.00ms : 0.06;-1.32;-0.60;18.80;-164.98;272.40
50252.00ms : 0.08;-1.48;-0.57;44.56;-92.71;174.56
50272.00ms : 0.00;-1.30;-0.42;67.08;-53.34;88.20
50292.00ms : -0.15;-1.05;-0.39;59.39;-58.65;65.43
50312.00ms : -0.15;-1.14;-0.53;34.48;-81.18;70.92
50332.00ms : -0.16;-1.19;-0.70;20.14;-63.29;81.30
50352.00ms : -0.19;-1.35;-0.60;13.73;-34.73;60.67
50372.00ms : -0.19;-1.33;-0.52;19.96;-12.94;24.05
50392.00ms : -0.20;-1.20;-0.56;26.25;14.40;1.34
50412.00ms : -0.13;-1.30;-0.48;26.55;35.34;-22.22
50432.00ms : -0.14;-1.11;-0.38;25.09;38.27;-37.78
50452.00ms : -0.26;-0.92;-0.38;16.60;28.56;-29.05
50472.00ms : -0.29;-0.95;-0.45;6.47;19.47;-12.76
50492.00ms : -0.28;-1.17;-0.61;-4.58;24.60;-10.19
50512.00ms : -0.23;-1.30;-0.66;-16.05;46.20;-31.92
50532.00ms : -0.21;-1.29;-0.60;-26.37;67.20;-63.72
50552.00ms : -0.24;-1.18;-0.55;-32.10;83.44;-87.40
50572.00ms : -0.28;-1.22;-0.58;-46.14;96.74;-103.76
50592.00ms : -0.24;-1.39;-0.61;-59.14;124.69;-140.14
50612.00ms : -0.23;-1.33;-0.56;-64.94;152.83;-182.98
50632.00ms : -0.32;-1.21;-0.55;-72.08;182.01;-210.57
50652.00ms : -0.23;-1.41;-0.64;-83.07;223.63;-254.76
50672.00ms : -0.05;-1.31;-0.51;-70.37;271.91;-314.03
50692.00ms : 0.01;-0.89;-0.30;-51.82;306.88;-348.94
50712.00ms : 0.03;-0.43;-0.02;-13.06;321.72;-327.03
50732.00ms : -0.22;-0.08;0.19;-4.03;300.66;-267.40
50752.00ms : -0.30;-0.30;0.17;-31.43;267.64;-219.18
50772.00ms : -0.14;-0.68;-0.06;-35.22;272.52;-229.80
50792.00ms : -0.02;-0.68;0.02;-28.50;295.65;-262.76
50812.00ms : 0.02;-0.31;0.24;-23.99;301.33;-269.17
50832.00ms : -0.05;-0.08;0.38;-28.14;287.72;-243.41
50852.00ms : -0.04;-0.09;0.44;-29.72;269.47;-212.40
50872.00ms : -0.02;-0.14;0.48;-37.78;245.36;-186.52
50892.00ms : 0.04;-0.11;0.44;-54.63;225.10;-155.21
50912.00ms : 0.08;-0.10;0.46;-67.93;210.21;-131.04
50932.00ms : 0.21;-0.11;0.45;-63.96;207.52;-121.46
50952.00ms : 0.21;-0.02;0.56;-57.80;200.93;-113.28
50972.00ms : 0.28;-0.08;0.58;-61.95;181.40;-108.22
50992.00ms : 0.34;-0.05;0.58;-67.81;158.75;-102.42
51012.00ms : 0.34;0.11;0.67;-71.35;133.30;-82.58
51032.00ms : 0.31;0.24;0.76;-78.12;93.32;-43.15
51052.00ms : 0.29;0.18;0.76;-86.12;50.11;-9.46
51072.00ms : 0.30;0.11;0.68;-91.25;21.55;4.21
51092.00ms : 0.26;0.14;0.64;-88.50;7.93;9.40
51112.00ms : 0.21;0.25;0.61;-79.22;7.08;17.21
51132.00ms : 0.22;0.29;0.68;-68.85;1.89;24.48
51152.00ms : 0.26;0.35;0.74;-59.51;-14.89;36.01
51172.00ms : 0.22;0.44;0.76;-44.98;-35.46;52.86
51192.00ms : 0.21;0.45;0.82;-29.66;-59.75;67.26
51212.00ms : 0.22;0.45;0.80;-18.37;-85.39;77.15
51232.00ms : 0.12;0.50;0.79;-11.11;-112.67;93.51
51252.00ms : 0.09;0.50;0.76;0.55;-124.02;113.28
51272.00ms : 0.11;0.43;0.77;15.63;-138.43;125.06
51292.00ms : 0.07;0.47;0.83;27.95;-158.14;138.31
51312.00ms : -0.00;0.58;0.81;40.10;-186.77;167.66
51332.00ms : -0.05;0.55;0.72;49.26;-208.07;205.14
51352.00ms : -0.09;0.40;0.54;60.06;-213.13;232.12
51372.00ms : -0.11;0.32;0.51;73.97;-213.56;246.46
51392.00ms : -0.13;0.31;0.49;85.45;-214.36;263.18
51412.00ms : -0.09;0.21;0.43;88.68;-221.80;280.03
51432.00ms : -0.15;0.09;0.30;89.66;-226.75;296.14
51452.00ms : -0.16;-0.08;0.19;82.82;-227.23;305.73
51472.00ms : -0.21;-0.27;0.09;72.51;-221.62;303.34
51492.00ms : -0.23;-0.36;0.02;58.53;-204.77;298.28
51512.00ms : -0.23;-0.40;0.01;51.03;-183.90;298.10
51532.00ms : -0.25;-0.45;0.10;50.78;-172.42;299.93
51552.00ms : -0.23;-0.45;0.06;46.88;-173.71;309.33
51572.00ms : -0.21;-0.55;-0.01;40.65;-168.82;320.68
51592.00ms : -0.13;-0.75;-0.14;34.12;-154.54;316.77
51612.00ms : -0.10;-0.94;-0.24;24.96;-125.73;287.84
51632.00ms : -0.07;-1.02;-0.26;27.16;-94.79;255.49
51652.00ms : -0.05;-1.22;-0.27;32.23;-64.45;199.89
51672.00ms : -0.02;-1.25;-0.31;38.39;-33.26;143.01
51692.00ms : -0.04;-1.30;-0.28;36.19;-9.83;88.50
51712.00ms : -0.03;-1.27;-0.26;32.84;5.62;36.56
51732.00ms : -0.04;-1.21;-0.25;31.01;18.07;5.68
51752.00ms : -0.06;-1.14;-0.12;32.41;19.29;-18.49
51772.00ms : -0.15;-1.00;-0.12;30.27;6.77;-19.17
51792.00ms : -0.19;-0.99;-0.20;26.06;6.23;-6.10
51812.00ms : -0.24;-1.04;-0.21;21.79;2.75;-2.32
51832.00ms : -0.24;-1.00;-0.27;16.48;6.53;1.16
51852.00ms : -0.22;-1.01;-0.24;9.89;8.42;5.25
51872.00ms : -0.16;-1.03;-0.23;3.48;9.22;3.23
51892.00ms : -0.17;-1.00;-0.19;5.25;8.73;-2.93
51912.00ms : -0.17;-0.96;-0.23;5.13;8.97;-3.97
51932.00ms : -0.17;-0.95;-0.17;2.01;8.91;-2.50
51952.00ms : -0.14;-1.04;-0.21;-2.44;3.36;-1.22
51972.00ms : -0.13;-1.16;-0.23;-4.88;7.51;-14.59
51992.00ms : -0.15;-1.14;-0.20;-2.08;13.24;-37.11
52012.00ms : -0.19;-1.09;-0.24;-4.82;16.60;-52.80
52032.00ms : -0.19;-1.16;-0.35;-18.31;26.18;-63.23
52052.00ms : -0.15;-1.29;-0.38;-35.58;39.86;-90.64
52072.00ms : -0.14;-1.33;-0.43;-49.56;58.17;-135.38
52092.00ms : -0.04;-1.50;-0.52;-57.37;96.98;-206.73
52112.00ms : 0.15;-1.44;-0.42;-54.63;143.62;-295.72
52132.00ms : 0.13;-1.04;-0.11;-48.28;158.51;-347.41
52152.00ms : 0.03;-0.76;-0.03;-34.06;149.72;-352.42
52172.00ms : -0.14;-0.44;-0.02;-34.91;143.86;-323.55
52192.00ms : -0.31;-0.40;-0.01;-44.31;144.04;-285.22
52212.00ms : -0.33;-0.56;-0.16;-74.28;143.43;-282.17
52232.00ms : -0.17;-0.76;-0.19;-82.34;171.08;-309.88
52252.00ms : -0.14;-0.42;-0.12;-84.90;194.52;-331.85
52272.00ms : -0.16;-0.07;-0.03;-88.26;220.34;-327.15
52292.00ms : -0.16;0.22;0.19;-88.56;232.60;-311.40
52312.00ms : -0.26;0.49;0.44;-85.69;222.47;-273.62
52332.00ms : -0.34;0.58;0.59;-82.40;187.07;-223.39
52352.00ms : -0.27;0.44;0.51;-83.98;150.39;-171.75
52372.00ms : -0.17;0.33;0.46;-88.50;126.71;-138.67
52392.00ms : -0.23;0.41;0.53;-99.79;105.16;-114.07
52412.00ms : -0.22;0.49;0.54;-104.86;85.94;-85.33
52432.00ms : -0.24;0.42;0.56;-109.19;67.26;-60.73
52452.00ms : -0.25;0.30;0.43;-116.21;55.24;-52.80
52472.00ms : -0.12;0.16;0.29;-123.96;66.35;-74.10
52492.00ms : -0.09;0.43;0.35;-121.83;80.44;-86.18
52512.00ms : -0.10;0.57;0.44;-120.54;70.01;-75.32
52532.00ms : -0.11;0.69;0.40;-119.20;63.23;-65.06
52552.00ms : -0.11;0.73;0.43;-111.57;52.06;-42.97
52572.00ms : -0.16;0.76;0.40;-103.94;36.68;-21.30
52592.00ms : -0.14;0.70;0.31;-94.48;34.00;-2.93
52612.00ms : -0.07;0.64;0.36;-86.55;36.80;4.82
52632.00ms : -0.06;0.71;0.33;-84.72;26.61;18.01
52652.00ms : 0.00;0.66;0.32;-95.21;12.63;24.78
52672.00ms : -0.00;0.70;0.33;-95.03;3.48;18.37
52692.00ms : -0.08;0.88;0.24;-87.40;8.85;13.73
52712.00ms : 0.01;1.06;0.36;-74.22;13.73;16.66
52732.00ms : -0.07;1.34;0.62;-42.60;-5.07;35.95
52752.00ms : -0.13;1.50;0.69;-10.68;-32.29;71.04
52772.00ms : -0.12;1.39;0.62;23.86;-56.21;101.99
52792.00ms : -0.16;1.25;0.45;55.79;-66.96;112.85
52812.00ms : -0.19;1.22;0.42;89.54;-57.68;115.30
52832.00ms : -0.26;1.26;0.50;116.58;-67.08;134.40
52852.00ms : -0.34;1.32;0.51;135.25;-84.23;171.81
52872.00ms : -0.40;1.38;0.55;152.77;-110.11;227.05
52892.00ms : -0.39;1.25;0.44;166.44;-137.45;284.85
52912.00ms : -0.29;0.94;0.20;171.45;-144.35;322.88
52932.00ms : -0.30;0.68;0.09;171.94;-134.70;337.65
52952.00ms : -0.31;0.43;-0.08;166.44;-115.11;336.49
52972.00ms : -0.27;0.23;-0.07;155.40;-92.29;333.74
52992.00ms : -0.32;0.23;0.03;141.36;-86.91;332.34
53012.00ms : -0.33;0.17;0.06;123.84;-92.04;344.60
53032.00ms : -0.25;0.05;0.02;114.01;-94.18;354.37
53052.00ms : -0.17;-0.08;-0.03;104.31;-99.73;366.27
53072.00ms : -0.06;-0.19;-0.10;91.31;-100.52;377.93
53092.00ms : 0.04;-0.34;-0.11;74.22;-94.60;381.59
53112.00ms : 0.15;-0.56;-0.15;60.61;-83.01;373.11
53132.00ms : 0.24;-0.80;-0.09;54.26;-64.03;337.52
53152.00ms : 0.21;-0.90;-0.10;63.84;-46.88;289.61
53172.00ms : 0.22;-0.97;-0.15;65.86;-27.22;241.94
53192.00ms : 0.21;-1.13;-0.15;66.47;-6.16;186.22
53212.00ms : 0.14;-1.19;-0.18;65.67;6.71;127.62
53232.00ms : -0.02;-1.15;-0.32;38.39;20.87;89.11
53252.00ms : -0.11;-1.24;-0.42;-1.53;40.59;63.90
53272.00ms : -0.08;-1.25;-0.36;-34.42;62.93;28.75
53292.00ms : -0.21;-0.94;-0.08;-12.27;85.33;-6.65
53312.00ms : -0.57;-0.33;0.07;2.69;48.40;50.42
53332.00ms : -0.28;-0.53;-0.28;1.28;50.11;139.59
53352.00ms : 0.07;-0.95;-0.15;7.63;72.75;164.73
53372.00ms : 0.38;-1.24;-0.09;14.10;66.59;143.68
53392.00ms : 0.61;-1.42;-0.17;14.53;66.89;95.15
53412.00ms : 0.67;-1.37;-0.14;14.53;68.30;36.07
53432.00ms : 0.68;-1.22;-0.15;14.59;63.54;-7.32
53452.00ms : 0.64;-1.06;-0.14;9.40;50.78;-25.88
53472.00ms : 0.61;-0.96;-0.08;-0.79;28.02;-30.21
53492.00ms : 0.53;-0.98;-0.11;-7.69;3.97;-32.04
53512.00ms : 0.52;-1.06;-0.18;-12.27;-8.12;-43.58
53532.00ms : 0.44;-1.11;-0.20;-21.61;-14.53;-58.41
53552.00ms : 0.42;-1.24;-0.22;-32.96;-19.71;-80.87
53572.00ms : 0.37;-1.30;-0.32;-47.18;-16.78;-105.90
53592.00ms : 0.33;-1.33;-0.28;-61.16;-7.75;-132.93
53612.00ms : 0.25;-1.34;-0.29;-72.51;-4.46;-163.45
53632.00ms : 0.22;-1.36;-0.35;-75.44;16.17;-207.09
53652.00ms : 0.14;-1.23;-0.38;-78.67;41.14;-244.32
53672.00ms : 0.13;-1.11;-0.39;-77.82;75.62;-279.72
53692.00ms : 0.09;-0.87;-0.31;-68.48;111.88;-312.74
53712.00ms : -0.00;-0.44;-0.12;-47.97;142.88;-314.09
53732.00ms : -0.26;-0.05;0.21;-48.46;144.90;-270.63
53752.00ms : -0.48;0.15;0.40;-56.82;122.07;-198.61
53772.00ms : -0.52;0.06;0.60;-69.89;92.47;-123.66
53792.00ms : -0.34;-0.25;0.36;-57.98;57.74;-67.63
53812.00ms : -0.40;-0.46;0.40;-47.67;21.79;-52.73
53832.00ms : -0.42;-0.44;0.35;-39.25;24.11;-45.65
53852.00ms : -0.44;-0.54;0.28;-29.85;23.07;-48.65
53872.00ms : -0.42;-0.56;0.27;-24.60;31.92;-53.28
53892.00ms : -0.41;-0.57;0.24;-23.38;39.06;-63.96
53912.00ms : -0.38;-0.63;0.14;-20.14;60.97;-78.92
53932.00ms : -0.32;-0.70;0.16;-16.54;81.24;-112.24
53952.00ms : -0.26;-0.66;0.19;-22.40;94.36;-142.46
53972.00ms : -0.25;-0.53;0.26;-29.36;95.40;-158.20
53992.00ms : -0.26;-0.43;0.27;-30.88;95.21;-158.08
54012.00ms : -0.26;-0.40;0.32;-31.25;96.50;-159.18
54032.00ms : -0.25;-0.39;0.37;-34.67;94.60;-158.87
54052.00ms : -0.27;-0.39;0.36;-44.07;82.82;-154.17
54072.00ms : -0.30;-0.34;0.36;-58.84;77.88;-149.35
54092.00ms : -0.33;-0.31;0.35;-70.86;73.55;-143.55
54112.00ms : -0.36;-0.26;0.34;-81.12;70.56;-137.63
